,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
164,Rehoboth,NA,-23.32,17.08,67.59,25,80,6.15,broken clouds
165,Korla,CN,41.76,86.15,26.74,83,83,5.73,broken clouds
166,Saint-Philippe,RE,-21.36,55.77,73.4,73,20,5.82,few clouds
167,Werda,BW,-25.27,23.28,74.37,64,28,12.97,scattered clouds
168,Christchurch,NZ,-43.53,172.63,62.6,63,14,16.11,few clouds
169,Rocha,UY,-34.48,-54.33,70.61,91,88,8.55,light rain
170,Thompson,CA,55.74,-97.86,17.6,85,90,3.36,light snow
171,Esperance,AU,-33.87,121.9,53.6,87,25,10.29,scattered clouds
172,Pingyin,CN,36.28,116.45,36.0,63,14,5.79,few clouds
173,Gambiran,ID,-6.8,111.5,76.59,88,97,4.88,overcast clouds
174,Nuevo Progreso,MX,23.17,-97.95,81.0,62,73,3.0,broken clouds
175,Isangel,VU,-19.55,169.27,78.28,68,31,11.99,scattered clouds
176,Salalah,OM,17.02,54.09,77.0,65,75,4.7,broken clouds
177,Riverton,US,40.52,-111.94,43.0,52,1,2.24,clear sky
178,Guerrero Negro,MX,27.98,-114.06,70.74,34,19,12.44,few clouds
179,Talnakh,RU,69.49,88.4,8.6,84,90,24.61,heavy snow
180,La Baule-Escoublac,FR,47.29,-2.36,48.2,87,0,10.29,clear sky
181,Pevek,RU,69.7,170.31,13.66,97,100,9.91,light snow
182,Albury,AU,-36.08,146.92,75.2,53,66,19.46,broken clouds
183,Codrington,AU,-38.27,141.97,58.48,73,87,15.95,overcast clouds
184,Baykit,RU,61.67,96.37,7.88,91,99,3.31,overcast clouds
185,Sakakah,SA,29.97,40.21,57.2,54,40,4.7,scattered clouds
186,Zhigansk,RU,66.77,123.37,-7.26,90,64,8.59,broken clouds
187,Seimeni,RO,44.38,28.07,28.4,100,90,5.82,mist
188,Souillac,MU,-20.52,57.52,75.2,83,75,8.05,broken clouds
189,Grand Gaube,MU,-20.01,57.66,71.01,87,5,5.01,light rain
190,Sergeyevka,KZ,53.88,67.42,7.36,94,99,7.23,overcast clouds
191,Gusau,NG,12.16,6.66,75.52,25,28,8.16,scattered clouds
192,Anajatuba,BR,-3.26,-44.62,76.84,92,100,4.38,overcast clouds
193,Zhanaozen,KZ,43.3,52.8,30.15,90,0,18.45,clear sky
194,Shakhtinsk,KZ,49.71,72.59,8.6,84,75,11.18,light snow
195,Nikolskoye,RU,59.7,30.79,32.0,95,90,11.18,overcast clouds
196,Dongsheng,CN,39.82,109.98,12.31,97,46,10.51,scattered clouds
